textSize, RT BruteForce, RT FSM, 	RT KMP, 	RT RabinKarp, RT Sunday
40300,	   477000,	   280600,	   407600,	   767500,	   237100
40400,	   530200,	   326700,	   488700,	   781400,	   216800
40500,	   478800,	   278800,	   409700,	   774100,	   215800
40600,	   481400,	   281500,	   407600,	   771600,	   217900
40700,	   480500,	   279900,	   410700,	   863700,	   329100
40800,	   643500,	   280900,	   411700,	   959400,	   261200
40900,	   669400,	   298900,	   411800,	   779100,	   220400
41000,	   484000,	   283100,	   413300,	   827600,	   220800
41100,	   528400,	   283700,	   416100,	   884800,	   222500
41200,	   488600,	   283400,	   414700,	   841600,	   236400
41300,	   489800,	   287700,	   417100,	   787600,	   221700
41400,	   489800,	   284500,	   418400,	   792800,	   222300
41500,	   525400,	   284500,	   419200,	   932700,	   453000
41600,	   493700,	   288300,	   418100,	   794400,	   222500
41700,	   493600,	   286800,	   420700,	   875000,	   223200
41800,	   495300,	   435700,	   437800,	   873400,	   225000
41900,	   494800,	   455400,	   582000,	   796500,	   226100
42000,	   495400,	   291300,	   423200,	   799800,	   223900
42100,	   497800,	   295000,	   423200,	   872000,	   224300
42200,	   570600,	   801100,	   549800,	   866900,	   225300
42300,	   500900,	   292900,	   425300,	   805700,	   226000
42400,	   501300,	   291400,	   427900,	   806300,	   227300
42500,	   538200,	   372600,	   427700,	   917900,	   226700
42600,	   536900,	   292700,	   450000,	   999000,	   227200
42700,	   505100,	   293700,	   431800,	   817900,	   229900
42800,	   507600,	   295700,	   432400,	   1117900,	   232100
42900,	   506600,	   297100,	   431900,	   905100,	   230000
43000,	   613500,	   295600,	   433200,	   822700,	   230400
43100,	   509800,	   298300,	   434100,	   840300,	   252400
43200,	   577000,	   296700,	   433600,	   859700,	   230400
43300,	   618000,	   305100,	   470700,	   885300,	   343700
43400,	   666200,	   297600,	   468300,	   1218000,	   232400
43500,	   516700,	   297600,	   438700,	   834700,	   232700
43600,	   517100,	   304700,	   440000,	   895000,	   232800
43700,	   516700,	   373000,	   441000,	   902400,	   233600
43800,	   519300,	   300400,	   480600,	   1009900,	   234000
43900,	   519900,	   301200,	   442500,	   835900,	   233700
44000,	   521000,	   309700,	   478700,	   836100,	   324200
44100,	   522200,	   304000,	   445300,	   919600,	   236500
44200,	   524800,	   302400,	   445500,	   841600,	   238700
44300,	   523100,	   303800,	   446500,	   846700,	   238200
44400,	   560200,	   303900,	   448800,	   1267100,	   238600
44500,	   602900,	   314700,	   486900,	   917300,	   240000
44600,	   528000,	   304700,	   451700,	   857300,	   240900
44700,	   577700,	   376200,	   593400,	   849400,	   348900
44800,	   568400,	   310800,	   452500,	   854300,	   241000
44900,	   533700,	   308000,	   516200,	   859100,	   240500
45000,	   532700,	   310300,	   452600,	   859700,	   242200
45100,	   536300,	   308200,	   513800,	   988800,	   241400
45200,	   538700,	   309800,	   457000,	   858500,	   241600
45300,	   538300,	   310200,	   731800,	   861800,	   244200
45400,	   538200,	   310600,	   458800,	   936200,	   246500
45500,	   539700,	   313600,	   458800,	   869300,	   244900
45600,	   540000,	   312300,	   461600,	   857000,	   313300
45700,	   541400,	   322400,	   460500,	   874400,	   246000
45800,	   1005800,	   446800,	   495400,	   903500,	   246400
45900,	   621800,	   355500,	   618900,	   876900,	   247200
46000,	   544000,	   316200,	   462900,	   978800,	   245700
46100,	   547000,	   315400,	   499500,	   878600,	   248200
46200,	   545200,	   316300,	   466500,	   881400,	   248000
46300,	   550200,	   316300,	   467700,	   889100,	   249200
46400,	   687900,	   546900,	   603200,	   885500,	   247600
46500,	   549100,	   374700,	   469000,	   892400,	   249400
46600,	   553100,	   317500,	   470400,	   921100,	   249000
46700,	   571100,	   411300,	   468900,	   893000,	   251600
46800,	   554400,	   319000,	   545400,	   892500,	   251700
46900,	   554500,	   341500,	   472000,	   891500,	   253100
47000,	   556700,	   321400,	   510200,	   1217200,	   296700
47100,	   557900,	   321500,	   766700,	   1044000,	   282000
47200,	   591300,	   332600,	   475000,	   899000,	   252400
47300,	   561300,	   323100,	   508900,	   960200,	   254800
47400,	   560600,	   365600,	   476100,	   903900,	   254400
47500,	   563300,	   324900,	   479800,	   977200,	   253600
47600,	   576000,	   324800,	   480300,	   945300,	   341800
47700,	   921600,	   504200,	   484400,	   907100,	   257200
47800,	   566600,	   327400,	   480800,	   911000,	   255300
47900,	   569100,	   333600,	   553300,	   913300,	   255400
48000,	   638500,	   460000,	   646600,	   915300,	   258200
48100,	   567200,	   329500,	   483100,	   916200,	   257900
48200,	   572000,	   328200,	   487400,	   958100,	   328100
48300,	   804800,	   347300,	   561000,	   920700,	   259600
48400,	   575300,	   330400,	   490800,	   919900,	   262900
48500,	   576500,	   333600,	   489400,	   925500,	   260900
48600,	   577800,	   331300,	   494100,	   989800,	   275600
48700,	   592600,	   332700,	   489300,	   928900,	   264500
48800,	   578300,	   335300,	   490100,	   932200,	   357600
48900,	   667400,	   401400,	   489500,	   930700,	   261000
49000,	   652200,	   344600,	   532300,	   931300,	   263500
